#Timestamp	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	CPU Voltage(V)	CPU Power(W)	L1_DATA_CACHE_ACCESS	CPU_CYCLES	L1_INSTR_CACHE_ACCESS	BUS_CYCLES	BUS_ACCESS_PERIPHERAL	BRANCH_SPECULATIVELY_EXECUTED_PROCEDURE_RETURN
9891 consumer_jpeg_d 1 204 24 0.842000 0.308000  0.002829 0.007461 0.003172 0.007529 0.000001 0.000193 
10004 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.118221 0.286683 0.132237 0.286816 0.000009 0.004564 
10115 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.004965 0.012358 0.005859 0.012481 0.000003 0.000189 
10226 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000632 0.002456 0.000924 0.002524 0.000001 0.000067 
10337 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001444 0.005104 0.001794 0.005184 0.000001 0.000104 
10448 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000579 0.002268 0.000857 0.002349 0.000001 0.000061 
10558 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.000940 0.004090 0.001383 0.004155 0.000001 0.000088 
10671 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001548 0.004474 0.001947 0.004542 0.000001 0.000085 
10785 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.003109 0.007595 0.003640 0.007726 0.000001 0.000115 
10893 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001291 0.003909 0.001658 0.003973 0.000001 0.000078 
11006 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.002768 0.007152 0.003310 0.007283 0.000001 0.000115 
11115 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000826 0.003329 0.001202 0.003401 0.000001 0.000080 
11227 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000746 0.003043 0.001086 0.003119 0.000001 0.000074 
11337 consumer_jpeg_d 1 204 25 0.842000 0.231000  0.002673 0.006791 0.003166 0.006867 0.000001 0.000106 
11447 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000784 0.003363 0.001141 0.003435 0.000001 0.000076 
11557 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001386 0.004664 0.001821 0.004792 0.000001 0.000090 
11662 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002127 0.004953 0.002309 0.004969 0.000001 0.000141 
11773 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.003078 0.007415 0.003561 0.007501 0.000001 0.000110 
11886 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000503 0.001949 0.000750 0.002022 0.000001 0.000057 
11997 consumer_jpeg_d 1 204 25 0.842000 0.231000  0.000542 0.002133 0.000799 0.002253 0.000001 0.000060 
12109 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.000822 0.003491 0.001211 0.003565 0.000001 0.000080 
12220 consumer_jpeg_d 1 204 25 0.842000 0.231000  0.001268 0.003951 0.001570 0.004016 0.000001 0.000107 
12325 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000593 0.002543 0.000866 0.002559 0.000001 0.000054 
12434 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001537 0.003983 0.001813 0.004050 0.000001 0.000117 
12546 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.071404 0.221155 0.101997 0.221183 0.000008 0.003692 
12655 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002474 0.008053 0.003227 0.008118 0.000003 0.000152 
12766 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.002035 0.004886 0.002282 0.004969 0.000001 0.000144 
